k,n,true_jaccard,fast_avg_error,kmins_avg_error,datasketch_avg_error,cmins_avg_error,fast_avg_time,kmins_avg_time,datasketch_avg_time,cmins_avg_time,fast_speedup_vs_kmins,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,kmins_speedup_vs_cmins,datasketch_speedup_vs_cmins
32,10000,0.4999250037498125,0.0749970001499925,0.06875299985000749,0.07002399880005998,0.07625899955002248,0.006160816000774502,0.17188316200394183,0.1298290320066735,0.08519019800005481,0.03584304552550188,0.04745329997113298,0.07231836696483014,2.017640128079421,1.52399026008356
32,20000,0.49998125023437207,0.06688174991562608,0.07062649998125022,0.05875449994375069,0.06687799996250045,0.012417470016516744,0.3527240199968219,0.2613177380082197,0.1713602119940333,0.03520449221640371,0.047518664868154314,0.07246413780667542,2.058377588895044,1.524961570526761
64,100,0.4925373134328358,0.04284048507462686,0.05154850746268656,0.052667910447761146,0.05471548507462686,0.00024204599903896452,0.0033052679966203867,0.002071954004932195,0.0008610899932682514,0.0732303702109647,0.1168201603234361,0.28109256980247016,3.838469872440745,2.406199144259163
64,1250,0.4997000599880024,0.04691099280143971,0.04566099280143972,0.04873800239952009,0.04257198560287943,0.000831214003264904,0.04315663000568747,0.01772946600569412,0.010864921999163925,0.01926040108218276,0.04688319450782925,0.07650436913664611,3.9721067495016027,1.631807941838739
64,2500,0.4997000599880024,0.0425,0.05378599280143972,0.04878599280143971,0.0496875,0.0016538759879767895,0.08658529400127009,0.03534874399891123,0.022052482012659313,0.019101118810690064,0.046787404611256626,0.07499727182760542,3.926328743928482,1.6029372103611352
64,5000,0.4999250037498125,0.04654150104994752,0.04000299985000749,0.049375,0.04970249925003748,0.0033603339944966136,0.17561935200821607,0.0703479080204852,0.04589845800306648,0.019134189689638564,0.04776736208727187,0.07321235049491444,3.826258215395448,1.5326856517878062
64,10000,0.4999250037498125,0.04623500074996252,0.057184500149992504,0.055029998500074964,0.04999999999999999,0.006873680013231933,0.35108887400943783,0.14223428399767726,0.09091582199325784,0.019578176701341887,0.048326464056613685,0.07560488221446948,3.8616916870143236,1.5644612882477718
64,20000,0.49998125023437207,0.046877999962500486,0.0459412499531256,0.047815499962500486,0.04594049996250045,0.013529969989322125,0.7299223639885895,0.2890629819920287,0.17880763600580393,0.01853617680021328,0.04680630461943838,0.07566774155485706,4.082165506426676,1.6166143037797667
128,100,0.4925373134328358,0.023736007462686563,0.03424673507462686,0.03513992537313428,0.04052472014925373,0.0005228460067883134,0.007365554007701575,0.0030866160127334297,0.0010294819925911725,0.07098529265301902,0.16939133492192768,0.5078729016641924,7.1546215093696945,2.998222440942865
128,1250,0.4997000599880024,0.03424274520095981,0.03360574760047991,0.03140625,0.03319698560287943,0.0009131040121428669,0.08932720002019778,0.020912445981521158,0.012180075987707824,0.010222015376463214,0.043663185690937925,0.07496702098282267,7.333878713921581,1.7169388764590692
